Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-07-01,4.20   ,-2.82   ,-1.46    ,2.34    ,0.91    ,0.68
1990-08-01,-8.68    ,3.61    ,1.73    ,0.27    ,0.67    ,0.66
1990-09-01,-8.80    ,3.65   ,-0.06    ,0.97    ,4.17    ,0.60
1990-10-01,-1.95   ,-4.76   ,-1.48    ,0.68   ,-2.73    ,0.68
1990-11-01,-2.98   ,-1.58   ,-0.77    ,2.65    ,0.56    ,0.57
1990-12-01,-1.10   ,-2.74   ,-1.02    ,0.28   ,-1.49    ,0.60
1991-01-01,5.28   ,-3.52    ,1.34    ,0.84   ,-0.06    ,0.52
1991-02-01,9.08   ,-1.68   ,-1.60    ,1.63   ,-0.57    ,0.48
1991-03-01,2.28   ,-1.00    ,1.80   ,-1.57    ,1.36    ,0.44
1991-04-01,2.09    ,1.30   ,-0.12    ,1.83    ,1.66    ,0.53
1991-05-01,-0.55   ,-0.96    ,1.45   ,-2.19    ,0.92    ,0.47
1991-06-01,-0.64    ,0.40   ,-0.29    ,0.07    ,1.48    ,0.42
1991-07-01,5.78   ,-0.44    ,4.39   ,-1.51    ,2.97    ,0.49
1991-08-01,-1.59   ,-0.12    ,1.41   ,-0.23    ,1.12    ,0.46
1991-09-01,0.81    ,1.77    ,1.80   ,-0.11    ,0.17    ,0.46
1991-10-01,3.77    ,1.66    ,1.29   ,-0.57   ,-1.24    ,0.42
1991-11-01,-0.35    ,2.58    ,0.51   ,-0.52   ,-2.78    ,0.39
1991-12-01,1.36   ,-2.64   ,-0.96    ,0.40   ,-0.83    ,0.38
1992-01-01,1.30    ,0.16    ,0.63   ,-1.02   ,-1.73    ,0.34
1992-02-01,2.00    ,0.43    ,2.17    ,1.04    ,0.88    ,0.28
1992-03-01,-0.27   ,-0.25   ,-1.17    ,0.88   ,-0.02    ,0.34
1992-04-01,5.39   ,-4.38   ,-0.23    ,2.16   ,-0.22    ,0.32
1992-05-01,7.92   ,-3.18    ,4.41   ,-5.39    ,2.03    ,0.28
1992-06-01,-1.18   ,-0.13    ,0.08   ,-1.27   ,-0.40    ,0.32
1992-07-01,-3.37    ,1.68   ,-0.56    ,1.12    ,2.79    ,0.31
1992-08-01,-6.07    ,0.16    ,1.25    ,0.33   ,-1.64    ,0.26
1992-09-01,-2.51    ,1.08    ,2.43   ,-0.08   ,-1.27    ,0.26
1992-10-01,2.89   ,-2.72    ,2.21   ,-0.90   ,-5.75    ,0.23
1992-11-01,-1.98    ,2.88   ,-0.58    ,1.04    ,1.53    ,0.23
1992-12-01,0.63    ,1.28   ,-4.75    ,4.48    ,4.89    ,0.28
1993-01-01,1.03    ,0.63    ,1.09   ,-0.41   ,-2.35    ,0.23
1993-02-01,8.06   ,-1.16    ,1.32   ,-2.14   ,-1.12    ,0.22
1993-03-01,2.76    ,3.69   ,-1.29    ,1.82    ,1.76    ,0.25
1993-04-01,5.51    ,3.27    ,1.30   ,-3.70   ,-0.46    ,0.24
1993-05-01,4.89    ,3.02    ,0.79   ,-2.01   ,-1.98    ,0.22
1993-06-01,-2.79    ,3.39    ,2.33    ,0.39   ,-0.30    ,0.25
1993-07-01,2.21    ,1.01   ,-1.86    ,0.51    ,5.86    ,0.24
1993-08-01,6.37   ,-0.90    ,0.86   ,-1.03   ,-2.00    ,0.25
1993-09-01,0.01   ,-2.90    ,0.53   ,-0.01   ,-3.06    ,0.26
1993-10-01,15.82   ,-5.05    ,1.71   ,-0.72   ,-6.14    ,0.22
1993-11-01,-2.38    ,2.48    ,1.83    ,0.23   ,-1.27    ,0.25
1993-12-01,20.52   ,-5.24    ,7.23   ,-6.00   ,-6.62    ,0.23
1994-01-01,0.86    ,3.29    ,2.16   ,-3.71    ,8.13    ,0.25
1994-02-01,-6.52    ,5.87    ,0.76   ,-2.22    ,2.70    ,0.21
1994-03-01,-9.99    ,0.55    ,0.38    ,1.89    ,0.20    ,0.27
1994-04-01,2.14   ,-1.15   ,-0.06   ,-0.12    ,2.90    ,0.27
1994-05-01,4.24   ,-4.08    ,0.54    ,1.54    ,0.85    ,0.32
1994-06-01,-6.39    ,2.59   ,-1.73    ,0.85    ,3.07    ,0.31
1994-07-01,4.75   ,-4.21    ,1.68   ,-2.26   ,-0.49    ,0.28
1994-08-01,3.63   ,-2.66   ,-0.24    ,0.10   ,-0.26    ,0.37
1994-09-01,-2.53    ,0.95   ,-0.16   ,-1.16   ,-0.85    ,0.37
1994-10-01,0.94   ,-2.61    ,0.85   ,-0.44    ,0.93    ,0.38
1994-11-01,-8.43    ,1.65    ,0.83    ,3.64    ,6.41    ,0.37
1994-12-01,-1.44   ,-1.20    ,0.94    ,2.05    ,2.46    ,0.44
1995-01-01,-7.64   ,-1.22    ,1.85    ,2.23    ,5.41    ,0.42
1995-02-01,5.83   ,-6.50    ,2.38   ,-4.40   ,-5.12    ,0.40
1995-03-01,0.51   ,-2.73   ,-0.50    ,0.54    ,0.57    ,0.46
1995-04-01,1.02   ,-0.38    ,0.02    ,3.33    ,5.49    ,0.45
1995-05-01,4.15   ,-4.29   ,-1.38   ,-2.26   ,-6.49    ,0.54
1995-06-01,-2.35    ,2.19    ,0.49    ,0.53   ,-1.42    ,0.47
1995-07-01,4.83    ,3.01   ,-2.28    ,1.46    ,0.97    ,0.45
1995-08-01,-1.47    ,4.78   ,-3.64    ,2.45    ,2.74    ,0.47
1995-09-01,1.75   ,-0.98    ,3.45    ,0.77   ,-2.64    ,0.43
1995-10-01,-0.78   ,-2.22    ,0.15    ,0.32   ,-1.20    ,0.47
1995-11-01,0.81   ,-0.22    ,0.71    ,0.52    ,0.69    ,0.42
1995-12-01,2.82   ,-2.18    ,0.06   ,-0.89    ,0.90    ,0.49
1996-01-01,8.33   ,-2.04    ,3.05   ,-3.55   ,-6.24    ,0.43
1996-02-01,0.34    ,2.24   ,-1.34    ,0.50    ,2.38    ,0.39
1996-03-01,-0.98    ,0.24   ,-0.22    ,0.13    ,1.54    ,0.39
1996-04-01,1.58    ,1.15   ,-0.31   ,-0.28    ,2.33    ,0.46
1996-05-01,0.72    ,0.93   ,-1.13   ,-0.05   ,-0.81    ,0.42
1996-06-01,-2.13    ,0.01    ,1.76    ,0.18   ,-1.09    ,0.40
1996-07-01,-5.34    ,0.13    ,2.41    ,1.76    ,0.82    ,0.45
1996-08-01,3.89    ,0.16   ,-2.02    ,0.63   ,-0.39    ,0.41
1996-09-01,2.31   ,-0.42    ,0.85   ,-0.57    ,1.14    ,0.44
1996-10-01,2.34    ,1.79   ,-0.50    ,0.63    ,0.16    ,0.42
1996-11-01,6.48   ,-0.45    ,4.74   ,-3.68    ,2.36    ,0.41
1996-12-01,-0.45   ,-0.48    ,0.57   ,-1.07    ,0.71    ,0.46
1997-01-01,-2.17    ,2.17   ,-1.13    ,0.16   ,-0.77    ,0.45
1997-02-01,0.87    ,3.89   ,-0.27   ,-0.27    ,0.10    ,0.39
1997-03-01,-4.71    ,2.45    ,0.31    ,4.30    ,1.23    ,0.43
1997-04-01,-0.01   ,-0.25    ,2.81    ,0.27    ,3.02    ,0.43
1997-05-01,6.90   ,-3.38    ,1.46   ,-1.36    ,0.81    ,0.49
1997-06-01,2.22   ,-2.77   ,-0.23    ,2.83   ,-0.59    ,0.37
1997-07-01,1.69    ,2.04    ,1.86    ,0.04   ,-2.78    ,0.43
1997-08-01,-8.43    ,8.76    ,8.17   ,-5.77    ,3.41    ,0.41
1997-09-01,3.75   ,-7.12   ,-5.05    ,2.84    ,0.82    ,0.44
1997-10-01,-22.35   ,-1.51   ,-4.43    ,9.66    ,4.35    ,0.42
1997-11-01,-1.53   ,-5.17   ,-2.07    ,2.91    ,0.58    ,0.39
1997-12-01,-1.47   ,-6.12   ,-1.38    ,1.89    ,2.22    ,0.48
1998-01-01,-8.61   ,-3.78   ,-8.91   ,11.14    ,6.94    ,0.43
1998-02-01,11.87    ,1.14    ,5.07   ,-9.43   ,-6.57    ,0.39
1998-03-01,-1.87   ,-0.27    ,1.80   ,-0.96    ,0.87    ,0.39
1998-04-01,-5.69    ,1.85    ,0.12    ,3.54    ,2.88    ,0.43
1998-05-01,-11.07    ,1.10   ,-0.66    ,4.13    ,3.00    ,0.40
1998-06-01,-6.01   ,-5.12    ,3.70    ,0.76    ,6.59    ,0.41
1998-07-01,-3.72   ,-0.71   ,-7.12    ,8.04    ,0.73    ,0.40
1998-08-01,-13.36   ,-1.96   ,-5.47    ,4.08   ,-0.37    ,0.43
1998-09-01,10.76   ,-4.86    ,1.11    ,0.40   ,-1.92    ,0.46
1998-10-01,18.07   ,-2.10   ,23.70  ,-12.20    ,0.64    ,0.32
1998-11-01,4.62    ,2.57    ,2.10    ,0.40    ,0.60    ,0.31
1998-12-01,-2.67   ,-0.77   ,-2.17    ,3.26    ,2.26    ,0.38
1999-01-01,-0.40    ,0.98   ,-7.07    ,5.76    ,1.28    ,0.35
1999-02-01,-1.28   ,-0.32   ,-0.34    ,1.60    ,0.30    ,0.35
1999-03-01,8.14   ,-5.86    ,3.51   ,-2.02    ,0.74    ,0.43
1999-04-01,16.83    ,4.65   ,11.48   ,-5.07    ,0.55    ,0.37
1999-05-01,-5.42   ,13.30    ,5.85   ,-3.99   ,-3.54    ,0.34
1999-06-01,9.18    ,6.73    ,8.24   ,-2.63    ,0.04    ,0.40
1999-07-01,-2.19   ,-2.56   ,-4.12    ,2.64   ,-2.03    ,0.38
1999-08-01,-2.28   ,-1.06   ,-1.87    ,0.17    ,0.93    ,0.39
1999-09-01,-2.30    ,4.50    ,0.29   ,-0.04   ,-0.98    ,0.39
1999-10-01,1.19   ,-1.82   ,-3.11    ,0.11   ,-1.46    ,0.39
1999-11-01,7.08   ,-2.12   ,-5.02   ,-1.06    ,1.59    ,0.36
1999-12-01,8.98    ,0.13    ,4.12   ,-1.57   ,-0.30    ,0.44
2000-01-01,-6.83    ,7.83    ,2.74   ,-2.78   ,-0.20    ,0.41
2000-02-01,-0.74    ,5.63   ,-1.35   ,-2.26   ,-3.16    ,0.43
2000-03-01,0.61   ,-2.11    ,0.97   ,-4.80    ,5.60    ,0.47
2000-04-01,-6.45  ,-11.45   ,-0.32    ,6.67   ,-0.10    ,0.46
2000-05-01,-8.45   ,-0.57   ,-3.10    ,5.28   ,-3.70    ,0.50
2000-06-01,10.79   ,-4.45    ,1.63   ,-0.20   ,-0.48    ,0.40
2000-07-01,-0.65   ,-0.48    ,3.66   ,-4.91   ,-1.24    ,0.48
2000-08-01,2.21   ,-2.16    ,4.97   ,-1.81    ,2.76    ,0.50
2000-09-01,-7.45   ,-3.91    ,4.69    ,2.91    ,1.20    ,0.51
2000-10-01,-6.09   ,-1.80    ,1.54    ,5.24    ,0.67    ,0.56
2000-11-01,-0.98    ,0.22    ,3.19    ,3.46    ,3.47    ,0.51
2000-12-01,4.09   ,-5.39    ,6.03   ,-2.47    ,3.84    ,0.50
2001-01-01,2.80   ,-2.06   ,-0.67   ,-1.08   ,-2.50    ,0.54
2001-02-01,-3.70    ,1.51    ,8.66   ,-1.74    ,8.24    ,0.38
2001-03-01,-13.24    ,0.15    ,8.04    ,1.29    ,3.41    ,0.42
2001-04-01,6.50   ,-0.29   ,-5.28    ,5.56   ,-2.96    ,0.39
2001-05-01,-0.15    ,5.97    ,5.19    ,0.84    ,2.02    ,0.32
2001-06-01,1.36    ,0.02    ,0.06    ,2.62    ,0.82    ,0.28
2001-07-01,-3.97   ,-2.42    ,1.23    ,2.48    ,3.13    ,0.30
