Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-07-01,0.77    ,0.60   ,-0.36    ,0.21    ,1.35    ,0.68
1990-08-01,-10.77   ,-1.45    ,0.48    ,0.15    ,1.20    ,0.66
1990-09-01,-11.89    ,1.25    ,0.80    ,0.19    ,2.15    ,0.60
1990-10-01,9.35   ,-7.66   ,-4.48    ,2.96    ,1.01    ,0.68
1990-11-01,-3.72    ,1.48    ,1.13    ,1.31   ,-2.12    ,0.57
1990-12-01,1.11   ,-0.87   ,-1.47    ,1.38   ,-0.33    ,0.60
1991-01-01,2.49   ,-1.71    ,0.47    ,0.94   ,-2.21    ,0.52
1991-02-01,9.03    ,2.38    ,0.03   ,-2.00   ,-0.30    ,0.48
1991-03-01,-2.29    ,3.02   ,-1.05    ,0.75   ,-1.27    ,0.44
1991-04-01,0.54    ,0.10    ,0.46    ,0.34    ,0.08    ,0.53
1991-05-01,0.73   ,-0.46    ,0.32    ,0.09   ,-0.25    ,0.47
1991-06-01,-6.07    ,1.52    ,1.11    ,0.88    ,0.42    ,0.42
1991-07-01,3.47   ,-1.63   ,-0.38    ,1.87   ,-0.57    ,0.49
1991-08-01,-1.29    ,0.45   ,-0.57    ,1.63   ,-0.89    ,0.46
1991-09-01,2.85    ,0.52   ,-0.09   ,-0.06    ,0.37    ,0.46
1991-10-01,1.36   ,-0.31   ,-1.42   ,-1.38    ,0.02    ,0.42
1991-11-01,-5.09    ,0.75   ,-1.35    ,1.34   ,-0.41    ,0.39
1991-12-01,6.32   ,-2.06   ,-2.72    ,1.62   ,-1.99    ,0.38
1992-01-01,-2.18    ,4.27    ,3.08   ,-0.53    ,1.07    ,0.34
1992-02-01,-1.89    ,2.55    ,1.88    ,0.34    ,1.21    ,0.28
1992-03-01,-5.48    ,1.09    ,2.54    ,0.73    ,0.75    ,0.34
1992-04-01,-0.14   ,-1.48    ,3.02    ,3.25    ,2.04    ,0.32
1992-05-01,4.06    ,0.13    ,0.67   ,-1.29    ,1.11    ,0.28
1992-06-01,-3.70    ,0.54    ,1.06    ,0.64    ,0.47    ,0.32
1992-07-01,-0.59   ,-2.24   ,-1.37    ,0.55    ,0.62    ,0.31
1992-08-01,2.44   ,-2.73   ,-1.61    ,0.32    ,0.77    ,0.26
1992-09-01,-1.38   ,-0.23   ,-0.97    ,0.21   ,-0.18    ,0.26
1992-10-01,-2.99   ,-0.37   ,-0.50    ,0.05   ,-1.95    ,0.23
1992-11-01,1.82   ,-0.05   ,-1.79   ,-0.21   ,-1.06    ,0.23
1992-12-01,0.76    ,1.40    ,0.98    ,0.87    ,0.93    ,0.28
1993-01-01,0.31    ,1.82    ,3.25   ,-1.24    ,1.29    ,0.23
1993-02-01,1.89   ,-1.04    ,3.55   ,-1.16    ,2.52    ,0.22
1993-03-01,6.67    ,0.33    ,1.85   ,-0.31    ,2.22    ,0.25
1993-04-01,4.30    ,0.65    ,2.91   ,-2.18    ,2.64    ,0.24
1993-05-01,3.12    ,4.09   ,-1.50   ,-1.37    ,0.17    ,0.22
1993-06-01,-2.11   ,-0.76    ,0.43   ,-1.40    ,1.16    ,0.25
1993-07-01,2.25   ,-1.33    ,1.36   ,-0.66    ,1.67    ,0.24
1993-08-01,4.37    ,1.02    ,1.14    ,0.03   ,-0.34    ,0.25
1993-09-01,-1.95    ,1.92    ,0.28    ,0.77   ,-1.46    ,0.26
1993-10-01,1.11   ,-0.32   ,-0.86    ,0.58   ,-0.27    ,0.22
1993-11-01,-6.26    ,1.55   ,-0.11    ,1.62   ,-2.41    ,0.25
1993-12-01,4.03    ,0.48    ,2.23   ,-0.84   ,-0.01    ,0.23
