Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-07-01,4.46    ,0.20   ,-1.52    ,0.28    ,1.10    ,0.68
1990-08-01,-10.88    ,0.25   ,-0.30   ,-0.50    ,1.66    ,0.66
1990-09-01,-12.19    ,1.92    ,0.44    ,0.33    ,1.78    ,0.60
1990-10-01,6.45   ,-2.58   ,-1.12    ,0.86   ,-0.73    ,0.68
1990-11-01,-0.42   ,-2.66    ,0.57    ,0.25   ,-0.33    ,0.57
1990-12-01,-1.55    ,0.90    ,0.26    ,1.03    ,0.30    ,0.60
1991-01-01,1.51   ,-3.95   ,-0.03    ,0.68   ,-0.34    ,0.52
1991-02-01,7.30    ,1.12    ,0.66    ,0.42   ,-2.32    ,0.48
1991-03-01,-6.70    ,1.94   ,-0.27    ,2.22   ,-1.43    ,0.44
1991-04-01,-0.87   ,-0.30   ,-0.59    ,1.02    ,1.32    ,0.53
1991-05-01,0.49   ,-3.15    ,0.12    ,1.18    ,1.96    ,0.47
1991-06-01,-7.41    ,0.87   ,-0.69    ,0.68    ,0.84    ,0.42
1991-07-01,5.30   ,-3.22   ,-0.35    ,2.71   ,-0.49    ,0.49
1991-08-01,1.42   ,-0.96   ,-0.08    ,2.77    ,0.21    ,0.46
1991-09-01,3.02    ,1.78   ,-0.05    ,2.70   ,-0.53    ,0.46
1991-10-01,-2.62   ,-0.73   ,-1.30    ,1.94    ,0.21    ,0.42
1991-11-01,-2.27    ,0.52   ,-1.81    ,0.75   ,-0.44    ,0.39
1991-12-01,6.30   ,-3.85   ,-2.10    ,1.19   ,-1.31    ,0.38
1992-01-01,-0.52   ,-0.76    ,1.29    ,0.30    ,0.45    ,0.34
1992-02-01,-0.44   ,-0.23    ,0.18    ,1.25   ,-0.16    ,0.28
1992-03-01,-3.74    ,0.37    ,0.29    ,0.57    ,0.50    ,0.34
1992-04-01,5.02   ,-1.35   ,-0.07    ,2.61    ,1.90    ,0.32
1992-05-01,5.09    ,0.11    ,1.40    ,1.01    ,0.83    ,0.28
1992-06-01,-1.17    ,0.61   ,-0.85   ,-0.09    ,0.27    ,0.32
1992-07-01,-4.10   ,-1.21   ,-1.37    ,2.82   ,-0.46    ,0.31
1992-08-01,-0.80   ,-1.30   ,-0.51    ,1.26   ,-1.50    ,0.26
1992-09-01,-2.99   ,-3.63   ,-1.82    ,1.44    ,0.87    ,0.26
